Jurisidiction,County,Reporting Year,Prior APN,APN,Address,Project Name,Jurisdiction Tracking ID,Unit Category,Tenure,Entitled Very Low Income Deed (Restricted),Entitled Very Low Income Non-Deed (Restricted),Entitled Low Income Deed (Restricted),Entitled Low Income Non-Deed (Restricted),Entitled Moderate Income Deed (Restricted),Entitled Moderate Income Non-Deed (Restricted),Entitled Above Moderate Income,Entitlement Date Approved,Total Units Entitled,Permitted Very Low Income Deed (Restricted),Permitted Very Low Income Non-Deed (Restricted),Permitted Low Income Deed (Restricted),Permitted Low Income Non-Deed (Restricted),Permitted Moderate Income Deed (Restricted),Permitted Moderate Income Non-Deed (Restricted),Permitted Above Moderate Income,Permit Date Issued,Total  Units Permitted,Completed Very Low Income Deed (Restricted),Completed Very Low Income Non-Deed (Restricted),Completed  Low Income Deed (Restricted),Completed Low Income Non-Deed (Restricted),Completed  Moderate Income Deed (Restricted),Completed Moderate Income Non-Deed (Restricted),Completed  Above Moderate Income,Completed Date,Total Units Completed,Total Extremely Low Income Units,SB 35 Approved?,Infill Unit?,Financial Assistance Program,Deed Restriction Type,Affordable Without Financial Assistance Notes,Years of Affordability,Demolished/Destroyed Units,Demolished or Destroyed?,Tenure Type of Demolished/Destroyed Unit,Notes
MOUNTAIN VIEW,SANTA CLARA,2020,,16-103-029-,137  FAIR OAKS ST,,2019-3424,Accessory Dwelling Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,9/3/20 0:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
MOUNTAIN VIEW,SANTA CLARA,2019,,197-41-020,285 Carmelita Drive,,2019-1795,Accessory Dwelling Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,10/2/19 0:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
MOUNTAIN VIEW,SANTA CLARA,2020,,18-958-005-,423  LORETO ST,,2020-0355,Accessory Dwelling Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,9/24/20 0:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
MOUNTAIN VIEW,SANTA CLARA,2020,,148-38-166,125  FAIR OAKS ST,,2019-3421,Accessory Dwelling Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,9/3/20 0:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
MOUNTAIN VIEW,SANTA CLARA,2019,,154-25-071,545 Mountain View Avenue,,2019-1218,Accessory Dwelling Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,4/25/19 0:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
MOUNTAIN VIEW,SANTA CLARA,2019,,15-805-093-,637  EHRHORN AV,,2019-1661,Accessory Dwelling Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,8/21/19 0:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
MOUNTAIN VIEW,SANTA CLARA,2019,,19-738-022-,2141  WOODLEAF WY,,2019-3410,Accessory Dwelling Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,11/15/19 0:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
MOUNTAIN VIEW,SANTA CLARA,2020,,15-830-024-,131  FAIR OAKS ST,,2019-3432,Accessory Dwelling Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,9/3/20 0:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
MOUNTAIN VIEW,SANTA CLARA,2019,,189-32-034,1367 Park Drive,,2019-2239,Accessory Dwelling Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,8/29/19 0:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
MOUNTAIN VIEW,SANTA CLARA,2020,,14-742-217-,237  CARMELITA DR,,2020-0062,Accessory Dwelling Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,1/10/20 0:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
MOUNTAIN VIEW,SANTA CLARA,2019,,197-37-031,2155 Carol Avenue,,2019-0670,Accessory Dwelling Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,6/21/19 0:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
MOUNTAIN VIEW,SANTA CLARA,2020,,15-008-038-,1249  SPRINGER RD,,2020-1977,Accessory Dwelling Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,7/21/20 0:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
MOUNTAIN VIEW,SANTA CLARA,2019,,147-24-040,22321 Jewell Place,,2019-3178,Accessory Dwelling Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,10/16/19 0:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
MOUNTAIN VIEW,SANTA CLARA,2020,,19-740-027-,2006  SUN-MOR AV A,,2019-2347,Accessory Dwelling Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2/18/20 0:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
MOUNTAIN VIEW,SANTA CLARA,2020,,19-736-021-,2342  PERICH CT,,2019-3238,Accessory Dwelling Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,8/21/20 0:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
MOUNTAIN VIEW,SANTA CLARA,2019,,160-02-067,769 Roslyn Circle,,2018-4307,Accessory Dwelling Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,12/18/19 0:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
MOUNTAIN VIEW,SANTA CLARA,2020,,15-029-028-,758  VAQUERO DR,,2019-0229,Accessory Dwelling Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,1/22/20 0:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
