objectid,joinid,permyear,county,jurisdictn,apn,address,zip,projname,hcategory,vlowdr,vlowndr,vlowtot,lowdr,lowndr,lowtot,moddr,modndr,modtot,amodtot,totalunit,tenure,mapped,mapnotes,pda,pdacycle,pdajoinid,tpa,tpacycle,hsngsite,rhnacycle,notes,ObjectId2
,6d974f6a-726c-11e8-adc0-fa7ae01bbebc,2017,6001,Albany,066-2810-014-00,728 Cornell,94706,(N) SFD + attached ADU,SF,0,0,0,0,0,0,0,0,0,2,2,NULL,Y,NULL,N,,,Y,2017,N,,NULL,1
,54be23cc-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,37925 Harbor Light Road,94560,WILLIAM LYON HOMES INC,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,Y,2017,NEW1,N,,Y,2015-2023,NULL,2
,319de300-74e4-11e8-adc0-fa7ae01bbebc,2017,6001,Berkeley,061 260400700,1835 MONTEREY Ave,NULL,NULL,SU,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,Y,2017,N,,NULL,3
,657cd1ae-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,38901 Snapdragon Place,94560,"D.R. Horton Bay, Inc",5+,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,N,,Y,2015-2023,NULL,4
,319d7da2-74e4-11e8-adc0-fa7ae01bbebc,2017,6001,Berkeley,054 180101600,1513 CARLETON ST,NULL,NULL,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,N,,N,,NULL,5
,657c422a-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,8559 Dunes Way,94560,WILLIAM LYON HOMES INC,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,Mapped by hand,Y,2017,NEW1,N,,Y,2015-2023,NULL,6
,54bdce9a-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,36152 Windwood Lane,94560,Classic Communities,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,N,,Y,2015-2023,NULL,7
,6d97ca1c-726c-11e8-adc0-fa7ae01bbebc,2017,6001,Dublin,NULL,7199 KYLEMORE CT,94568,ENCLAVE @ TASSAJARA HIGHLANDS,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,N,,Y,2015-2023,NULL,8
,6d975140-726c-11e8-adc0-fa7ae01bbebc,2017,6001,Albany,067-2852-008-00,710 San Carlos,94706,(N) detached ADU,SU,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,Y,2017,N,,NULL,9
,6d975604-726c-11e8-adc0-fa7ae01bbebc,2017,6001,Albany,066-2810-030-00,707 Stannage,94706,Addn & remod to access bldg to convert to ADU,SU,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,Y,2017,N,,NULL,10
