permyear,apn,address,projname,hcategory,tenure,vlowdr,lowdr,amodtot,totalunit,geometry,vlowtot,lowtot,hsngsite
2020,16-103-029-,"137  Fair Oaks St, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,1,1,POINT (-122.098708 37.402485),,,
2019,197-41-020,"285 Carmelita Drive, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,1,1,POINT (-122.073404 37.375952),,,
2020,18-958-005-,"423  Loreto St, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,1,1,POINT (-122.076192 37.389906),,,
2020,148-38-166,"125  Fair Oaks St, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,1,1,POINT (-122.098631 37.402648),,,
2019,154-25-071,"545 Mountain View Avenue, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,1,1,POINT (-122.087004 37.391604),,,
2019,15-805-093-,"637  Ehrhorn Av, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,1,1,POINT (-122.077026 37.385092),,,
2019,19-738-022-,"2141  Woodleaf Wy, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,1,1,POINT (-122.076087 37.372789),,,
2020,15-830-024-,"131  Fair Oaks St, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,1,1,POINT (-122.098669 37.402567),,,
2019,189-32-034,"1367 Park Drive, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,1,1,POINT (-122.090615 37.387851),,,
2020,14-742-217-,"237  Carmelita Dr, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,1,1,POINT (-122.074008 37.376251),,,
2019,197-37-031,"2155 Carol Avenue, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,1,1,POINT (-122.074627 37.371863),,,
2020,15-008-038-,"1249  Springer Rd, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,1,1,POINT (-122.095224 37.385176),,,
2019,147-24-040,"22321 Jewell Place, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,1,1,POINT (-122.095553 37.406998),,,
2020,19-740-027-,"2006  Sun-Mor Av A, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,1,1,POINT (-122.070321 37.373823),,,
2020,19-736-021-,"2342  Perich Ct, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,1,1,POINT (-122.072664 37.370586),,,
2019,160-02-067,"769 Roslyn Circle, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,1,1,POINT (-122.065469 37.404407),,,
2020,15-029-028-,"758  Vaquero Dr, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,1,1,POINT (-122.080164 37.404473),,,
2020,19-726-022-,"877  Central Av, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,1,1,POINT (-122.077605 37.39794),,,
2020,15-830-001-,"1223  Arbor Ct, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,1,1,POINT (-122.066146 37.366296),,,
2020,18-904-107-,"1448  Brookdale Av, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,1,1,POINT (-122.0901 37.37781),,,
2019,197-10-040,"3466 Woodstock Lane, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,1,1,POINT (-122.072929 37.359535),,,
2019,153-20-018,"751 San Lucas Avenue, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,1,1,POINT (-122.071387 37.403966),,,
2020,19-741-016-,"280  Franklin St, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,1,1,POINT (-122.081939 37.393724),,,
2020,15-805-101-,"754  Calderon Av, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,1,1,POINT (-122.076655 37.384671),,,
2020,15-022-034-,"1092  Washington St, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,1,1,POINT (-122.082746 37.398608),,,
2019,19-725-067-,"2715  Diericx Dr, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,1,1,POINT (-122.064715 37.365225),,,
2020,14-742-217-,"440  Calderon Av, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,1,1,POINT (-122.073714 37.38864),,,
2019,170-09-087,"1115 Solana Drive, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,1,1,POINT (-122.102662 37.390714),,,
2019,18-905-145-,"830  Sladky Av, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,1,1,POINT (-122.088298 37.374211),,,
2020,15-326-018-,"764  Alice Av, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,1,1,POINT (-122.067075 37.381749),,,
2019,154-24-041,"523 Mariposa Avenue, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,1,1,POINT (-122.090306 37.393223),,,
2019,19-305-008-,"1096  Petie Wy, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,1,1,POINT (-122.078708 37.380953),,,
2020,15-813-013-,"396  Farley St, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,1,1,POINT (-122.0896 37.403467),,,
2020,158-09-004,"575 Serra Avenue, Mountain View, CA",,Single-Family Detached Unit,Owner,0,0,1,1,POINT (-122.080402 37.38629),,,
2020,154-22-042,"450  Chiquita Av, Mountain View, CA",,Single-Family Detached Unit,Owner,0,0,1,1,POINT (-122.091945 37.394897),,,
2021,193-03-032,"909 Boranda Av, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,1,1,POINT (-122.081263 37.383939),,,
2021,148-07-006,"263 Monroe Dr, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,1,1,POINT (-122.115365 37.410639),,,
2021,197-41-024,"357 Carmelita Dr, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,1,1,POINT (-122.072661 37.375489),,,
2021,153-28-017,"262 Elmwood St, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,1,1,POINT (-122.079459 37.397766),,,
2021,197-21-014,"3345 Grant Rd, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,1,1,POINT (-122.077673 37.362709),,,
2021,148-38-040,"216 S Rengstorff Av, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,1,1,POINT (-122.099141 37.401178),,,
2021,193-02-008,"697  Stamm Av, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,1,1,POINT (-122.084191 37.382797),,,
2021,189-04-004,"14 Starr Wy, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,1,1,POINT (-122.087295 37.380064),,,
2021,160-32-012,"78 Gladys Av, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,1,1,POINT (-122.066436 37.39648),,,
2021,193-18-046,"1639 Montalto Dr, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,1,1,POINT (-122.083568 37.376369),,,
2021,15013017,"1790 Elsie Av, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,1,1,POINT (-122.087215 37.405103),,,
2021,160-16-069,"142 Sherland Av, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,1,1,POINT (-122.061077 37.400296),,,
2021,153-03-021,"2076  San Luis Av, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,1,1,POINT (-122.093449 37.40887),,,
2021,189-21-085,"1168 Spencer Ct, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,1,1,POINT (-122.094371 37.367009),,,
2021,197-21-034,"277  Apricot Ln, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,1,1,POINT (-122.076266 37.362158),,,
2021,150-21-002,"143  Bonny St, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,1,1,POINT (-122.089442 37.400765),,,
2021,197-38-010,"386 Sleeper Av, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,1,1,POINT (-122.074855 37.371699),,,
2021,189-06-077,"1747 Peartree Ln, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,1,1,POINT (-122.089544 37.372508),,,
2021,153-21-035,"793 San Carlos Av, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,1,1,POINT (-122.073051 37.40484),,,
2021,153-21-032,"876  San Rafael Av, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,1,1,POINT (-122.073468 37.405221),,,
2021,147-42-219,"115  Fair Oaks St, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,1,1,POINT (-122.098534 37.402785),,,
2021,150-10-033,"197 Farley St, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,1,1,POINT (-122.090078 37.401581),,,
2021,197-40-001,"355  Martens Av, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,1,1,POINT (-122.073297 37.374583),,,
2021,197-40-001,"347  Martens Av, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,1,1,POINT (-122.07347 37.374696),,,
2021,158-01-016,"25 Church St, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,1,1,POINT (-122.071625 37.382537),,,
2021,19740001,"343  Martens Av, Mountain View, CA",,Single-Family Detached Unit,Owner,0,0,1,1,POINT (-122.073556 37.374752),,,
2019,193-02-001,"1125 Castro Street, Mountain View, CA",,Single-Family Detached Unit,Owner,0,0,1,1,POINT (-122.085019 37.383206),,,
2021,189-04-060,"1050  Marilyn Dr, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,1,1,POINT (-122.092531 37.381164),,,
2021,147-24-048,"2321  Heather Ct, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,1,1,POINT (-122.096915 37.406529),,,
2021,14713046,"2117  Rock St, Mountain View, CA",,"2-, 3-, and 4-Plex Units per Structure",Renter,0,0,2,2,POINT (-122.093305 37.412384),,,
2019,160-19-131,"186 East Middlefield Road, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,5,5,POINT (-122.062213 37.398151),,,
2019,14-753-142-,"2280 W El Camino Real, Mountain View, CA",,5 or More Units Per Structure,Renter,0,0,0,0,POINT (-122.104894 37.397367),,,
2019,14-753-141-,"2260 W El Camino Real, Mountain View, CA",,5 or More Units Per Structure,Renter,0,0,0,0,POINT (-122.104319 37.397558),,,
2019,15-002-006-,"2065  San Luis Av, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.09294 37.408312),,,
2019,14-742-021-,"218  College Av, Mountain View, CA",,Single-Family Detached Unit,Owner,0,0,0,0,POINT (-122.100838 37.401781),,,
2021,153-26-018,"877  Central Av, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,0,0,POINT (-122.077605 37.39794),,,
2021,158-05-101,"754  Calderon Av, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,0,0,POINT (-122.076655 37.384671),,,
