Jurisdiction Name,Site Address/Intersection,5 Digit ZIP Code,Assessor Parcel Number,Consolidated Sites,General Plan Designation (Current),Zoning Designation (Current),Minimum Density Allowed (units/acre),Max Density Allowed (units/acre),Parcel Size (Acres),Existing Use/Vacancy,Infrastructure,Publicly-Owned,Site Status,Identified in Last/Last Two Planning Cycle(s),Lower Income Capacity,Moderate Income Capacity,Above Moderate Income Capacity,Total Capacity,Optional Information 1,Optional Information 2,Optional Information 3
MOUNTAIN VIEW,1280 SPACE PARK WY,94043-1434,11614071,,North Bayshore Mixed-Use,P(39) - North Bayshore Precise Plan,0,~157,0.98,two-story science laboratory  - FAR: 0.42; Year Built: 1959,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,107,0,0,107,Opportunity Site (No rezoning),Maximum Density set by FAR (3.5). Maximum dwelling units per acre shown is based on a proportional increase or decrease of similar district’s precedent. projects.,
MOUNTAIN VIEW,1060 LA AVENIDA,94043-1422,11614107,,North Bayshore Mixed-Use,P(39) - North Bayshore Precise Plan,0,~71,1.24,one-story consultant office  - FAR: 0.364; Year Built: 1980,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,61,0,0,61,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on a proportional increase or decrease of similar district’s precedent. projects.,
MOUNTAIN VIEW,1070 LA AVENIDA,94043-1422,11614108,,North Bayshore Mixed-Use,P(39) - North Bayshore Precise Plan,0,~71,1.07,one-story USPS Carrier Annex  - FAR: 0.334; Year Built: 1980,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,53,0,0,53,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on a proportional increase or decrease of similar district’s precedent. projects.,
MOUNTAIN VIEW,1080 LA AVENIDA A,94043-1422,11614109,,North Bayshore Mixed-Use,P(39) - North Bayshore Precise Plan,0,~71,0.92,one-story medicial clinic  - FAR: 0.331; Year Built: 1980,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,45,0,45,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on a proportional increase or decrease of similar district’s precedent. projects.,
MOUNTAIN VIEW,1090 LA AVENIDA,94043-1422,11614110,,North Bayshore Mixed-Use,P(39) - North Bayshore Precise Plan,0,~71,0.96,one-story single tenant light industrial space  - FAR: 0.31; Year Built: 1980,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,47,0,47,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on a proportional increase or decrease of similar district’s precedent. projects.,
MOUNTAIN VIEW,1350 PEAR AV,94043-1302,11614114,,North Bayshore Mixed-Use,P(39) - North Bayshore Precise Plan,0,~157,0.84,one-story multi-tenant light industrial  - FAR: 0.332; Year Built: 1987,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,92,0,0,92,Opportunity Site (No rezoning),Maximum Density set by FAR (3.5). Maximum dwelling units per acre shown is based on a proportional increase or decrease of similar district’s precedent. projects.,
MOUNTAIN VIEW,2483 OLD MIDDLEFIELD WY,94043-2330,14711025,,General Mixed-Use,CRA,0,43,1.34,one-story restaurant with two-story office behind - FAR: 0.384; Year Built: 1973,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,48,0,48,Opportunity Site (No rezoning),,
MOUNTAIN VIEW,2485 OLD MIDDLEFIELD WY,94043-2316,14711029,,General Mixed-Use,CRA,0,43,0.50,one-story service/light industrial building - FAR: 0.375; Year Built: 1963,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,18,0,18,Opportunity Site (No rezoning),,
MOUNTAIN VIEW,2495 OLD MIDDLEFIELD WY,94043-2316,14711034,,General Mixed-Use,CRA,0,43,0.56,one-story liquor store - FAR: 0.168; Year Built: 1977,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,20,0,20,Opportunity Site (No rezoning),,
MOUNTAIN VIEW,298 SAN ANTONIO RD,94040-1212,14815017,,Mixed-Use Corridor,P(40) - San Antonio Precise Plan,0,63-89,0.53,one-story medicial offices - FAR: 0.298,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,32,0,32,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,
